representacion_pais_descripcion;representacion_pais_iso;representacion_descripcion;representacion_circunscripcion;representacion_ciudad_descripcion;representacion_provincia_descripcion;representacion_direccion;representacion_email;representacion_pagina_web;representacion_horario_atencion;representacion_cuidad_codigo_tel;representacion_telefono;representacion_fax;representacion_telefax;;;;;
Marruecos;MA;Embajada de MARRUECOS;        ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Castex 3461;sifamarruecos@fibertel.com.ar;http://www.visitmorocco.com;;11;4801-8154//4801-8157;4802-0136;;;;;;
Marruecos;MA;Sección Consular de MARRUECOS en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;Mariscal Ramón Castilla 2952;;;;11;4801-8154//4801-8157;4802-0136;;;;;;
México;MX;Consulado Honorario  de MÉXICO en Córdoba; Provincias de Córdoba, Santa Fe, Santiago del Estero y Catamarca ;Córdoba;Córdoba;Av. Japón Nº 2230 Córdoba;;;;351;483-7625;;;;;;;
México;MX;Consulado Honorario  de MÉXICO en Mendoza;Provincia de Mendoza, San Juan y La Rioja.;Mendoza;Mendoza;Carril San Martín 4733 - Chacras de Coria - Luján de Cuyo;;;;261;496-2192;;;;;;;
México;MX;Embajada de MÉXICO;                  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Arcos 1650//Basavilbaso 1350 Piso 10;embajadaarg@sre.gob.mx//imsantaella@promotur.com.mx//consuladoarg@sre.gob.mx//olivia.vadillo@promexico.gob.mx;http://embamex.sre.gob.mx/argentina;;11;4118-8800//4118-8817//4139-6770/71//4118-8818;4118-8837//4118-8661/72;;;;;;
México;MX;Sección Consular de MÉXICO en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;Arcos 1650;;;;11;4118-8852;4118-8837/8800;;;;;;
Mónaco;MC;Consulado Honorario  de MÓNACO en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Madero 1020 - Piso 5º;;;;11;4516-1500;4311-3560;;;;;;
Montenegro;ME;Embajada de MONTENEGRO;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Libertad 1173 1º A;argentina@mfa.gov.me;;;11;;;;;;;;
Mozambique;MZ;Consulado Honorario  de MOZAMBIQUE en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;Salvador María del Carril 3815;;;;11;4503-9414;4503-9414;;;;;;
Nicaragua;NI;Embajada de NICARAGUA;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Santa Fe 1845 Piso 7º Oficina B;embanic@speedy.com.ar;;;11;4811-0973;4811-0973;;;;;;
Nicaragua;NI;Sección Consular de NICARAGUA en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Santa Fe 1845 7°A;;;;11;4811-0973;4816-6315;;;;;;
Nigeria;NG;Embajada de NIGERIA;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Corrientes 686, Olivos;embajadadenigeria@gmail.com;http://nigerianembassy.org.ar;;11;4799-6805;;;;;;;
Nigeria;NG;Sección Consular de NIGERIA en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;Rosales 2674;;;;11;4799-7006//4799-8090;4790-7564;;;;;;
Noruega;NO;Consulado Honorario  de NORUEGA en Bahía Blanca;Local y las Provincias de La Pampa, Neuquén, Río Negro, Chubut y Santa Cruz;Bahía Blanca;Buenos Aires;Calle 1;;;;291;457-1755;457-0653;;;;;;
Noruega;NO;Consulado Honorario  de NORUEGA en Rosario;Provincias de Santa Fe, Entre Ríos, Chaco, Formosa, Corrientes y Misiones;Rosario;Santa Fe;San Lorenzo 1716 - 4C/D;;;;341;530-0004//;530-0027;;;;;;
Noruega;NO;Embajada de NORUEGA;        ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Carlos Pellegrini 1427 - P. 2;emb.buenosaires@mfa.no;http://www.norway.no/argentina;;11;3724-1200;4328-9048;;;;;;
Nueva Zelanda;NZ;Embajada de NUEVA ZELANDA;    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Carlos Pellegrini 1427-Piso 5º;EmbajadaNZBA@gmail.com;www.nzembassy.com/argentina;;11;5070-0700;5070-0720;;;;;;
Nueva Zelanda;NZ;Sección Consular de NUEVA ZELANDA en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Carlos Pellegrini 1427 - Piso 5º;kiwiarg@speedy.com.ar;www.nzembassy.com/argentina;;11;5070-0700;5070-0720;;;;;;
Nunciatura Apostólica;VA;Embajada de NUNCIATURA APOSTÓLICA;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Alvear 1605;nunap.arg@gmail.com;;;11;4813-9697;;;;;;;
Organismos Internacionales;;Agencia Brasileño-argentina de Contabilidad y Control de Materiales Nucleares (ABACC);      ;Río de Janeiro;Río de Janeiro, Brasil;Avenida Río Branco 123, Gr. 515;info@abacc.org.br;;;5521;3171-1201;3171-1248;;;;;;
Organismos Internacionales;;Alto Comisionado de las Naciones Unidas Para los Refugiados (ACNUR);          ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Cerrito 836 , Piso 10;argbu@unhcr.org;www.acnur.org;;11;4815-7870;4815-4352;;;;;;
Organismos Internacionales;;Asociación Latinoamericana de Ferrocarriles (ALAF);      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Avda. Belgrano 863, Piso 1°;alaf@alaf.int.ar//alaf10@alaf.int.ar;www.alaf.int.ar;;11;4342-7271//4345-4006;4331-2747;;;;;;
Organismos Internacionales;;Banco Mundial (BM);      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Bouchard 547 Piso 28 y 29;sip@worldbank.org;;;11;4316-9700//4316-0600;4313-1233;;;;;;
Organismos Internacionales;;Centro de Información de las Naciones Unidas para Argentina y Uruguay (CINU) ;  ;;;;;;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Junín 1940, Piso 1 (C1113AAX) ;unic.buenosaires@unic.org;http://www.unic.org.ar;;11;4803-7671//4803-7672//4803-0738 ;4804-7545
Organismos Internacionales;;Comisión Administradora del Río de la Plata (CARP);        ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Paraguay 577 Piso 4° Of. A;carp@comisionriodelaplata.org;www.comisionriodelaplata.org;;11;3984-9200;;;;;;;
Organismos Internacionales;;Comisión Administradora del Río Uruguay (CARU);      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Esmeralda 1212, Anexo C Piso 1°//Av. Costanera Norte s/n Paysandú;caru@caru.org.uy;www.caru.org.uy;;11;722-5400//722-6786//722-5500//5166-8412//4819-8142;;;;;;;
Organismos Internacionales;;Comisión Binacional Pilcomayo;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Esmeralda 1212, Piso 10;daz@mrecic.gov.ar;;;11;4819-7514//4819-7515;;;;;;;
Organismos Internacionales;;Comisión Económica para América Latina y el Caribe;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Paraguay 1178, Piso 2;cepalbue@cepal.org;www.cepal.org//www.un.org.ar;;11;4815-7810;4815-2534;;;;;;
Organismos Internacionales;;Comisión Mixta Argentino-paraguaya del Río Paraná (COMIP) ;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Eduardo Madero 942 Piso 14;comip@comip.org.ar;;;11;4311-2657//4311-5770//4311-8788//4311-9993//4515-0083;4311-5770 Int. 102;;;;;;
Organismos Internacionales;;Comisión Técnica Mixta de Salto Grande (CTMSG);      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Leandro N. Alem 449 7º Piso;secgral@saltogrande.org;;;11;4313-1938//4313-2800//5554-3432//5554-3467;4311-6738//4311-2860;;;;;;
Organismos Internacionales;;Comisión Técnica Mixta del Frente Marítimo;        ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Esmeralda 1212, Piso 11º Of.  1111;frentemaritimo@mrecic.gov.ar;http://www.ctmfm.gov.ar;;11;4819-7518;;4819-7294;;;;;
Organismos Internacionales;;Comisión Trinacional para el Desarrollo de la Cuenca del Río Pilcomayo ;        ;Formosa;Formosa;Fontana 840 ;dectn@pilcomayo.net;;;370;;;434037;;;;;
Organismos Internacionales;;Comité Intergubernamental Coordinador de los Países de la Cuenca del Plata (CIC);      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Paraguay 755,  Piso 2;secretaria@cicplata.org;http://www.cicplata.org;;11;4312-2506;;4312-2272;;;;;
Organismos Internacionales;;Conferencia de Ministros de Justicia de los Países Iberoamericanos (COMJIB);    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;25 de Mayo 267 1° Piso;flor.mignani@comjib.org;http://www.comjib.org;;11;;;5300-4064;;;;;
Organismos Internacionales;;Corporación Financiera Internacional;    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Bouchard 557,  Piso 11;abrizio@ifc.org;;;11;4114-7200;4312-7184;;;;;;
Organismos Internacionales;;Dirección General de Asuntos Internacionales de Drogas;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Esmeralda 1212;;;;11;;;;;;;;
Organismos Internacionales;;FLACSO Argentina (Facultad Latinoamericana de Ciencias Sociales) ;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Tucumán 1966 C.A.B.A.;informe@flacso.org.ar;;;11;5238-9300;;;;;;;
Organismos Internacionales;;Fondo de las Naciones Unidas para la Infancia (UNICEF) ;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Junin 1940 PB;buenosaires@unicef.org;http://www.unicef.org.ar/argentina;;11;5093-7100//5093-7125;5093-7111;;;;;;
Organismos Internacionales;;Fondo de Población de Naciones Unidas - UNFPA;          ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Sanchez de Bustamante 27 Piso 4º ;argentina.office@unfpa.org;;;11;3221-0263;;;;;;;
Organismos Internacionales;;Fondo Monetario Internacional;        ;Washington;Washington, EEUU;700 19th Street, N.W. ;;http://www.imf.org;;202;623-7000;623-4661;;;;;;
Organismos Internacionales;;Grupo de Acción Financiera de Sudamérica (GAFISUD);    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Florida 939 Piso 10 A;contacto@gafisud.info;;;11;5252-9292;5252-3456;;;;;;
Organismos Internacionales;;Instituto de Políticas Públicas de Derechos Humanos (IPPDH) de MERCOSUR;          ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. del Libertador 8151 Ciudad Autónoma de Buenos Aires;info@ippdh.mercosur.int;www.ippdh.mercosur.int;;11;5217-1288;;;;;;;
Organismos Internacionales;;Instituto Interamericano de Cooperación para la Agricultura (IICA);      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Bernardo de Irigoyen 88, Piso 5;iicarg@iica.org.ar;;;11;4345-1210//4334-8282;4345-1208;;;;;;
Organismos Internacionales;;Instituto para la Integración de América Latina y el Caribe del Banco Interamericano de Desarrollo (;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Esmeralda 130, Piso 16;INTAL@iadb.org;http://www.iadb.org/intal/;;11;4323-2350;4323-2365;;;;;;
Organismos Internacionales;;Misión del Comité Internacional de la Cruz Roja (CICR) en Argentina;            ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Rivadavia 789 Piso 2;bue_buenosaires@icrc.org;http://www.icrc.org/spa;;11;5290-6515;5290-6514;;;;;;
Organismos Internacionales;;Oficina de las Naciones Unidas de Servicios para Proyectos (UNOPS) ;        ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Cerrito 382 Piso 3°;aroc@unops.org;www.unops.org;;11;;;4328-8500;;;;;
Organismos Internacionales;;Oficina Regional de Interpol Para América del Sur (OIPOLC);              ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Cavia 3378;n.zarate@interpol.int;;;11;4808-8400;4808-8495;;;;;;
Organismos Internacionales;;Organización de Estados Iberoamericanos Para la Educación, la Ciencia y la Cultura (OEI);    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Paraguay 1510;oeiba@oei.org.ar;www.oei.org.ar;;11;4813-0033//4813-0034//4811-9642;5277-3887;;;;;;
Organismos Internacionales;;Organización de las Naciones Unidas para el Desarrollo Industrial (ONUDI);      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Esmeralda 130, Piso 13;l.martinez@unido.org;;;11;4320-8794//(15) 5120-8563;;;;;;;
Organismos Internacionales;;Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO);      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Avda. Belgrano 456 1º Piso Frente;emfao@mrecic.gov.ar;;;11;4349-1985;4349-1995;;;;;;
Organismos Internacionales;;Organización Iberoamericana de Seguridad Social (OISS);    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Sarmiento 1136;conosur@oiss.org.ar;;;11;4381-8473//4381-5344//4381-5556;4381-5312;;;;;;
Organismos Internacionales;;Organización Internacional del Trabajo (OIT);    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Córdoba 950, Piso 13;buenosaires@oit.org.ar;www.oit.org.ar;;11;4393-7076;4393-7062;;;;;;
Organismos Internacionales;;Organización Internacional para las Migraciones (OIM);        ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Santa  Fé 1460, Piso 5 Ciudad Autónoma de Buenos Airesº;ROBuenosAires@iom.int;www.iom.int;;11;5219-2033 al 35//4813-3330;4816-4596//4816-6321;;;;;;
Organismos Internacionales;;Organización Panamericana de la Salud/Organización Mundial de la Salud (OPS/OMS);            ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Marcelo T. de Alvear 684, Piso 4 Ciudad Autónoma de Buenos Aires;pwr-arg@paho.org;http://www.paho.org/arg;;11;4319-4211;4319-4210;;;;;;
Organismos Internacionales;;Programa Conjunto de las Naciones Unidas sobre Vih/Sida (ONUSIDA) ;            ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Florida 622 Piso 6° Of. 22;Argentina@unaids.org;;;11;4328-4365;;;;;;;
Organismos Internacionales;;Programa de Naciones Unidas para el Desarrollo (PNUD);      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Esmeralda 130, Piso 13 Ciudad Autónoma de Buenos Aires;registry.ar@undp.org;;;11;4320-8702;4320-8708;;;;;;
Organismos Internacionales;;Representación en la Argentina Banco Interamericano de Desarrollo (BID);      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Esmeralda 130, Piso 17, 18, 19 y 20;BIDargentina@iadb.org;;;11;4320-1800;4320-1830;;;;;;
Organismos Internacionales;;Representación Regional para las Américas de la Organización Mundial de Sanidad Animal (OIE);      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Paseo Colón 315 5to. Piso ;rr.americas@oie.int//l.barcos@oie.int;www.rr-americas.oie.int;;11;4331-3919//4331-4939;4331-5158;;;;;;
Organismos Internacionales;;Secretaría del Tratado Antártico (STA);    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Maipú 757 Piso 4º;manfred.reinke@antarctictreaty.org;www.ats.aq;;11;4320-4251;4320-4253;;;;;;
Organismos Internacionales;;Unidad Técnico-administrativa de la OEA en Argentina;        ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Junin 1940 P.B.;oeasec@oea.com.ar//LBuscaglia@oas.org;http://www.oas.org;;11;4803-7606//4803-7607//4803-7608;4801-6092;;;;;;
Organismos Internacionales;;Unión Latina (UNILAT);        ;Ciudad Autónoma de Buenos Aires;Buenos Aires;;ulsg@unilat.org;http://www.unilat.org/;;11;;;;;;;;
Pakistán;PK;Embajada de PAKISTÁN;        ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Olleros 2130;pakistan2130@gmail.com;;;11;4775-1294;4773-8081;;;;;;
Pakistán;PK;Sección Consular de PAKISTÁN en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Gorostiaga 2176;parepbaires@sinectis.com.ar;;;11;4775-1294;4776-1186;;;;;;
Palestina;PS;Embajada de PALESTINA;    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Riobamba 981;emb.palestina.arg@gmail.com//palestina@palestina.int.ar;http://www.palestina.int.ar/;;11;4816-6651//4816-7021;4816-6652;;;;;;
Panamá;PA;Consulado General de PANAMÁ en Ciudad Autónoma de Buenos Aires;  Todo el territorio de la República Argentina  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Tucumán 326, 2° piso 1er cuerpo;informes@panaconsul.com.ar;;;11;4811-1254;;;;;;;
Panamá;PA;Embajada de PANAMÁ;          ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Santa Fe 1461 - Piso 1º;embpanamaargentina@mire.gob.pa;http://www.embajadadepanama.com.ar/;;11;4811-1254//4814-0450;;;;;;;
Paraguay;PY;Consulado de Carrera  de PARAGUAY en La Plata;    ;La Plata;Buenos Aires;Calle 50 Nº 365 entre 2 y 3 ;laplataconsulpar@mre.gov.py;;;221;421- 7951;482 - 6781;;;;;;
Paraguay;PY;Consulado de PARAGUAY en Clorinda;    ;Clorinda;Formosa;Sarmiento 799 esq. 12 de Octubre;;;;3718;421 988;421 385;;;;;;
Paraguay;PY;Consulado de PARAGUAY en Córdoba;   Provincia de Córdoba, Jujuy, Salta, Catamarca, Tucumán, Santiago del Estero, La Rioja, San Juan, Mendoza y San Luis   ;Córdoba;Córdoba;Calle Urquiza Nº 26 c/ Dean Funes;cordobaconsulpar@mre.gov.py;http://www.consulparcordoba.com/;;351;424 5265//15 684 8911//684 8911;;;;;;;
Paraguay;PY;Consulado de PARAGUAY en Corrientes;    ;Corrientes;Corrientes;Mendoza 1265 3º Piso ofic. 2 y 3 Edificio Imperial IV;corrientesconsulpar@mre.gov.py;;;379;423-1008//497-4698;423-1008;;;;;;
Paraguay;PY;Consulado de PARAGUAY en Formosa;      ;Formosa;Formosa;España 702 esq. Eva Perón;formosaconsulpa@mre.gov.py;;;370;421 007//15 579 707//431 923;431 923;;;;;;
Paraguay;PY;Consulado de PARAGUAY en Mar del Plata;  ;Mar del Plata;Buenos Aires;San Martín 2332 - Piso 1º - Oficinas 122 y 124;;;;223;;;;;;;;
Paraguay;PY;Consulado de PARAGUAY en Posadas;  ;Posadas;Misiones;San Lorenzo 1561;;http://www.mre.gov.py/posadas;;3752;423 858;;;;;;;
Paraguay;PY;Consulado de PARAGUAY en Puerto Iguazú; Puerto Iguazú ;Puerto Iguazú;Misiones;Perito Moreno Nº 236 Bº Centro;consulpar-iguazu@arnet.com.ar;;;3757;424 230//458 101;424 230;;;;;;
Paraguay;PY;Consulado de PARAGUAY en Resistencia;  ;Resistencia;Chaco;Santa Fé 388 esq. Liniers;consuladodelparaguayresistencia@hotmail.com;;;362;448 524;448 524;;;;;;
Paraguay;PY;Consulado de PARAGUAY en Rosario;    Provincia de Córdoba, Santa Fe, Jujuy, Salta, Catamarca, Tucumán, Santiago del Estero, La Rioja, San Juan, Mendoza y San Luis    ;Rosario;Santa Fe;San Luis 1370 Centro de la Ciudad de Rosario;consulpar.rosario@mre.gov.py;;;341;449-0993;449 4043;;;;;;
Paraguay;PY;Consulado General de PARAGUAY en Ciudad Autónoma de Buenos Aires;    Todo el territorio de la República Argentina    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Viamonte 1851//Moreno 769/775 Ciudad Autónoma de Buenos Aires;bairescongralpar@mre.gov.py;www.mre.gov.py/congralparbaires;;11;;;;;;;;
Paraguay;PY;Embajada de PARAGUAY;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Las Heras 2545;gabinete@paraguay.int.ar//secretaria@paraguay.int.ar//argentinaembaparsc@mre.gov.pv;;;11;4802-3826//4802-3432;4807-7600;;;;;;
Perú;PE;Consulado General de PERÚ en Ciudad Autónoma de Buenos Aires;     En las Provincias de Buenos Aires (con excepción de las ciudades y partidos de La Plata, Bahía Blanca, Ensenada, Brandsen, Berisso, Berazategui, Magdalena, San Vicente y Puerto de Ensenada), así como en las provincias de La Pampa, Neuquén, Río Negro, Chubut, Santa Cruz y la provincia de Tierra del Fuego, Antártica e Islas del Atlántico Sur. JEFATURA DE LOS SERVICIOS CONSULARES: con jurisdicción para efectos de organización interna en todo el país.     ;Ciudad Autónoma de Buenos Aires;Buenos Aires;San Martín 128-136 C.A.B.A.;info@consuladoperubaires.org//consulperucba@arnetbiz.com.ar//conperbaires@consuladoperubaires.org;www.consuladoperubaires.org;;11;15 5815 4260;4341-0006/0010/0015/0020/0030/0035/0040///15 5141 8249;;;;;;
Perú;PE;Consulado General de PERÚ en Córdoba;  Provincias de Córdoba, La Rioja y Catamarca  ;Córdoba;Córdoba;Humberto Primo 749, Barrio Alberdi;consulperucba@arnet.com.ar;;;351;;5096270;4264196/4239273;;;;;
Perú;PE;Consulado General de PERÚ en La Plata;  Ciudad y Partido de La Plata, así como los Partidos de Ensenada, Brandsen, Berisso, Berazategui, Magadalena y San Vicente de la Provincia de Buenos Aires  ;La Plata;Buenos Aires;Calle 8 Nº 862 - Piso 1º (entre 49 y 50);conperlp@speedy.com.ar;www.conperlaplata.org.ar;;221;425-1862//15 525 4585;423-2812;;;;;;
Perú;PE;Consulado General de PERÚ en Mendoza;   Provincias de Mendoza, San Luis y San Juan  ;Mendoza;Mendoza;Huarpes 629 - 5º Sección;consulperu-mendoza@rree.gob.pe;;;261;429-9831//154 533 833;429-4926;;;;;;
Perú;PE;Consulado Honorario  de PERÚ en Corrientes;   Provincias de Corrientes, Chaco y Misiones   ;Corrientes;Corrientes;Calle Santiago Baigorria 1873 Barrio Berón de Astrada//Santa Fe 1527;;;;379;432 790//432 593;432 790;;;;;;
Perú;PE;Consulado Honorario  de PERÚ en Rosario; Provincias de Santa Fé y Entre Ríos ;Rosario;Santa Fe;Boulevard Oroño 415 PB;zegarraponce@msn.com;;;341;4218144;;4499385;;;;;
Perú;PE;Consulado Honorario  de PERÚ en Salta; En las provincias de Jujuy Salta, Formosa y Santiago del Estero. ;Salta;Salta;Acevedo Nº 295;conpersalta@gmail.com;;;387;423 0809;;;;;;;
Perú;PE;Embajada de PERÚ;                                ;Ciudad Autónoma de Buenos Aires;Buenos Aires;"Av. del Libertador 1720//Armenia 2436 1º A//Sanchez de Bustamante 2624 2do. ""A"" C.A.B.A.";contacto@embajadadelperu.int.ar//turismo@embajadadelperu.int.ar//cultura@embajadadelperu.int.ar//comercioperu@embajadadelperu.int.ar//prensa@embajadadelperu.int.ar//inversiones@embajadadelperu.int.ar//administracion@embajadadelperu.int.ar;www.embajada.pe/sites/argentina;;11;4802-2000/2551/2438//4801-6351/6429/6551;4802-5887//4833-7711/7722/7006;;;;;;
Polonia;PL;Consulado Honorario  de POLONIA en Córdoba;Provincia de Córdoba;Córdoba;Córdoba;San Lorenzo 567 - Piso 1º - Barrio Nueva Córdoba;;;;351;421-1348;421-1348;;;;;;
Polonia;PL;Consulado Honorario  de POLONIA en Mar del Plata;Provincia de Buenos Aires, con excepción del Gran Buenos Aires;Mar del Plata;Buenos Aires;La Rioja 2749;;;;223;491-5294;491-5294;;;;;;
Polonia;PL;Consulado Honorario  de POLONIA en Oberá;Provincias de Misiones y Corrientes;Oberá;Misiones;Gobernador Barreiro 1176;;;;3755;421-763;424-507;;;;;;
Polonia;PL;Consulado Honorario  de POLONIA en Rosario;Provincias de Santa Fé y Entre Ríos;Rosario;Santa Fe;Boulevard Oroño 276;;;;341;425-1964;425-1964;;;;;;
Polonia;PL;Embajada de POLONIA;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Alejandro María de Aguado 2870;secretaria.buenosaires@msz.gov.pl;;;11;4808-1700;4808-1701;;;;;;
Polonia;PL;Sección Consular de POLONIA en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;Alejandro María de Aguado 2870;;;;11;4802-9681//4802-9682;4802-9683;;;;;;
Polonia;PL;Sección Consular de POLONIA en Comodoro Rivadavia;Provincias de CHUBUT, RIO NEGRO y SANTA CRUZ;Comodoro Rivadavia;Chubut;Ing. Huergo 1058;;;;297;446-6075;;;;;;;
Portugal;PT;Consulado Honorario  de PORTUGAL en Mendoza;   Provincias de Mendoza, San Luis y La Rioja   ;Mendoza;Mendoza;Mitre N° 568 piso 2 depto 7;;;;261; 665709// 15 665 7092;;;;;;;
Portugal;PT;Consulado Honorario de PORTUGAL en Comodoro Rivadavia;    Provincias de Chubut, Santa Cruz y Tierra del Fuego, Antártida e Islas del Atlántico Sur    ;Comodoro Rivadavia;Chubut;Belgrano 756;;;;297;446-4503;;;;;;;
Portugal;PT;Consulado Honorario de PORTUGAL en Rosario;   Local   ;Rosario;Santa Fe;Zona Rural Ruta 11 Km. 321;;;;341;491-2408 - Int. 102;;;;;;;
Portugal;PT;Embajada de PORTUGAL;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Maipú 942-Piso 17;embpor@buenosaires.dgaccp.pt;;;11;4312-0187//4312-3524;4311-2586;;;;;;
Portugal;PT;Sección Consular de PORTUGAL en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Maipú 942 - Piso 17º;seconsular_bs.as@ciudad.com.ar//seconsular@buenosaires.dgaccp.pt;;;11;4312-3524;4311-2586;;;;;;
Qatar;QA;Embajada de QATAR;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Alvear 1891 Alvear Palace Hotel ;buenosaires@mofa.gov.qa;http://buenos-aires.embassy.qa/;;11;4808-2128;4808-2480;;;;;;
Reino Unido;UK;Consulado Honorario  de REINO UNIDO en Córdoba; Provincia de Córdoba ;Córdoba;Córdoba;Simón Bolivar  Nº 362  - 2º C - Córdoba;;;;351;589-9898;;;;;;;
Reino Unido;UK;Consulado Honorario  de REINO UNIDO en Mendoza;  Provincia de Mendoza  ;Mendoza;Mendoza;Julio A. Roca Nº 155 Mendoza;;;;261;420-2559;;;;;;;
Reino Unido;UK;Consulado Honorario  de REINO UNIDO en Rosario;   Provincia de Santa Fe   ;Rosario;Santa Fe;Cnel. Dorrego Nº 779 - 2º A Rosario;;;;341;448-7701;;;;;;;
Reino Unido;UK;Embajada de REINO UNIDO;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Dr. Luis Agote 2412;;http://www.britain.org.ar/index_sp.html;;11;4808-2200;4808-2228//4808-2316//4808-2283//4808-2221//4808-2235//4808-2274;;;;;;
Reino Unido;UK;Sección Consular de REINO UNIDO en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;Dr. Luis Agote 2412;;;;11;4803-7070//4803-7071;4803-1731;54 (11) 4808-2200;;;;;
Rumania;RO;Consulado Honorario  de RUMANIA en Mendoza;Provincias de Mendoza, San Luis, La Rioja y Neuquén;Mendoza;Mendoza;Av. de Acceso Este, Lateral Sur 2497 - Las Cañas - Guaymallén;;;;261;431-7020;;;;;;;
Rumania;RO;Embajada de RUMANIA;    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Arroyo 962/970;buenosaires@mae.ro;http://buenosaires.mae.ro;;11;4326-5888//4322-8656;4322-2630;;;;;;
Rumania;RO;Sección Consular de RUMANIA en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;Arroyo 962/970;;;;11;4326-5888;4322-2630;;;;;;
Rusia;RU;Consulado Honorario  de RUSIA en Oberá;;Oberá;Misiones;Cordoba 168;;;;3755;421-954;;;;;;;
